Place smartline

xy=184386.271,397570.829;
xy=184389.136,397567.878;
xy=184392.841,397564.467;
xy=184393.884,397563.16;
xy=184394.597,397561.641;
xy=184394.922,397559.728;
xy=184395.612,397554.763;
xy=184396.202,397549.777;
xy=184396.718,397544.801;
xy=184397.144,397539.854;
xy=184397.524,397534.856;
xy=184397.957,397529.864;
xy=184398.418,397524.881;
xy=184398.852,397519.899;
xy=184399.269,397514.906;
xy=184399.731,397509.933;
xy=184400.238,397504.921;
xy=184400.844,397499.98;
xy=184401.646,397495.119;
xy=184402.123,397492.422;
xy=184402.694,397490.305;
xy=184403.442,397487.536;
xy=184404.216,397485.695;
xy=184405.717,397481.988;
xy=184406.219,397481.14;
xy=184408.615,397476.873;
xy=184411.279,397472.812;
xy=184414.285,397468.912;
xy=184416.062,397466.664;
xy=184417.543,397464.975;
xy=184420.776,397461.174;
xy=184424.02,397457.398;
xy=184427.243,397453.52;
xy=184430.275,397449.564;
xy=184433.222,397445.524;
xy=184436.096,397441.29;
xy=184438.828,397436.966;
xy=184439.294,397436.161;
xy=184440.809,397432.288;
xy=184442.344,397427.436;
xy=184443.611,397422.574;
xy=184444.735,397417.637;
xy=184445.618,397412.664;
xy=184446.367,397407.681;
xy=184446.799,397404.243;
xy=184446.865,397402.672;
xy=184447.075,397397.631;
xy=184447.131,397396.488;
xy=184447.076,397395.923;
xy=184447.067,397392.586;
xy=184446.879,397387.579;
xy=184446.741,397382.567;
xy=184446.535,397377.58;
xy=184446.447,397374.349;
xy=184446.318,397373.115;
xy=184446.038,397367.59;
xy=184445.767,397362.596;
xy=184445.464,397357.601;
xy=184445.147,397352.611;
xy=184444.88,397347.61;
xy=184444.705,397342.611;
xy=184444.664,397340.524;
xy=184444.504,397337.61;
xy=184444.412,397334.981;
xy=184444.283,397332.609;
xy=184444.033,397327.609;
xy=184443.926,397324.935;
xy=184443.79,397322.596;
xy=184443.543,397317.612;
xy=184443.3,397312.649;
xy=184442.996,397307.621;
xy=184442.72,397302.643;
xy=184442.487,397297.648;
xy=184442.234,397292.62;
xy=184442.066,397287.652;
xy=184442.093,397283.681;
xy=184442.148,397282.697;
xy=184442.274,397280.378;
xy=184442.531,397277.805;
xy=184443.05,397273.187;
xy=184443.103,397272.841;
xy=184443.889,397267.925;
xy=184444.646,397262.981;
xy=184445.408,397258.668;
xy=184445.49,397258.048;
xy=184445.882,397255.219;
xy=184446.223,397253.106;
xy=184447.011,397248.133;
xy=184447.811,397243.203;
xy=184448.637,397238.285;
xy=184449.417,397233.304;
xy=184450.184,397228.379;
xy=184450.974,397223.423;
xy=184451.764,397218.479;
xy=184452.547,397213.577;
xy=184453.381,397208.613;
xy=184454.189,397203.718;
xy=184454.978,397198.732;
xy=184455.752,397193.821;
xy=184456.49,397188.861;
xy=184457.368,397183.941;
xy=184458.134,397179.029;

Reset
