Place smartline

xy=0.0,75.5949;
xy=0.07880000000000001,75.4473;
xy=0.2122,75.2583;
xy=0.3989,75.0574;
xy=0.5497,74.9277;
xy=0.7557,74.7966;
xy=1.0567,74.6564;
xy=1.3735,74.584;
xy=1.5957999999999999,74.5594;
xy=2.1348000000000003,74.5608;
xy=2.9871000000000003,74.6761;
xy=4.5158,74.6965;
xy=9.5135,74.7694;
xy=14.520999999999999,74.8534;
xy=19.5386,74.9476;
xy=24.5266,75.0214;
xy=29.5075,75.3568;
xy=31.894,75.5097;
xy=34.4951,75.5801;
xy=39.5176,75.7095;
xy=44.505100000000006,75.8333;
xy=46.357000000000006,75.8689;
xy=49.1871,75.7398;
xy=49.5277,75.7516;
xy=54.538500000000006,75.9628;
xy=59.5202,76.1335;
xy=64.5202,76.0516;
xy=66.5365,75.9987;
xy=69.5252,76.0926;
xy=74.50670000000001,76.257;
xy=79.5304,76.4386;
xy=82.4864,76.5743;
xy=84.5357,76.6095;
xy=87.43860000000001,76.6273;
xy=89.5172,76.727;
xy=94.5282,76.9267;
xy=99.5098,77.1616;
xy=104.49730000000001,77.3845;
xy=109.5089,77.5782;
xy=114.5314,77.8016;
xy=119.50670000000001,78.0072;
xy=124.5239,78.2185;
xy=129.5002,78.4654;
xy=134.5169,78.724;
xy=139.5043,78.9235;
xy=144.5271,79.1115;
xy=149.5171,79.3346;
xy=153.0534,79.464;
xy=154.5272,79.5814;
xy=159.5261,79.9225;
xy=163.0575,80.193;
xy=164.53130000000002,80.234;
xy=169.5308,80.4284;
xy=174.5244,80.575;
xy=178.3381,80.6159;
xy=179.5183,80.8447;
xy=180.72910000000002,81.0268;
xy=181.3691,81.0444;
xy=182.4437,80.9622;
xy=183.6249,80.8445;
xy=184.5292,80.8269;
xy=189.5098,80.8797;
xy=191.8139,80.8913;
xy=192.724,80.8619;
xy=194.528,80.8859;
xy=199.52020000000002,80.9329;
xy=204.5154,80.9907;
xy=209.5177,81.0435;
xy=214.5195,81.103;
xy=219.5155,81.1579;
xy=224.5168,81.2105;
xy=229.508,81.267;
xy=234.5181,81.3238;
xy=239.5054,81.3807;
xy=244.5134,81.4346;
xy=249.5207,81.4952;
xy=254.5138,81.5434;
xy=259.5071,81.6059;
xy=264.5188,81.6526;
xy=269.5195,81.7116;
xy=274.5129,81.7708;
xy=279.52669999999995,81.8297;
xy=284.52279999999996,81.881;
xy=289.517,81.9321;
xy=294.51009999999997,82.0029;
xy=299.51899999999995,82.0539;
xy=304.5163,82.105;
xy=309.5098,82.1563;
xy=314.515,82.2154;
xy=319.51219999999995,82.2784;
xy=324.51759999999996,82.3176;
xy=329.51079999999996,82.3571;
xy=334.5155,82.4043;
xy=339.5207,82.4396;
xy=344.51809999999995,82.4828;
xy=349.5272,82.5301;
xy=354.517,82.5617;
xy=359.5215,82.6086;
xy=364.5195,82.652;
xy=369.5166,82.6992;
xy=374.51349999999996,82.7388;
xy=379.5186,82.7819;
xy=384.5164,82.821;
xy=389.5132,82.8684;
xy=394.51079999999996,82.9076;
xy=399.51169999999996,82.939;
xy=404.5254,82.9943;
xy=409.52,82.9741;

Reset
